Price Date,Min Price,Max Price,Modal Price
2025-01-17,37.0,48.29,42.0
2025-01-18,24.71,32.43,29.57
2025-01-19,24.43,32.71,29.86
2025-01-20,23.0,30.38,27.62
2025-01-21,23.62,31.12,27.5
2025-01-22,22.9,32.12,27.7
2025-01-23,22.5,31.32,27.1
2025-01-24,23.39,32.14,28.39
2025-01-25,23.62,32.15,28.2
2025-01-26,23.82,32.45,28.58
2025-01-27,23.95,32.25,28.35
2025-01-28,23.55,32.22,28.58
2025-01-29,22.9,32.88,28.32
2025-01-30,23.95,33.1,28.9
2025-01-31,24.69,33.69,29.69
2025-02-01,24.92,33.76,29.71
2025-02-02,24.6,33.72,29.35
2025-02-03,24.6,33.45,29.4
2025-02-04,25.08,34.15,29.92
2025-02-05,25.7,34.52,30.42
2025-02-06,17.87,25.13,22.07
2025-02-07,25.58,34.5,30.6
2025-02-08,28.0,36.43,33.14
2025-02-09,28.71,36.43,33.14
2025-02-10,25.7,34.88,31.1
2025-02-11,28.0,36.43,33.14
2025-02-12,25.74,33.61,30.64
2025-02-13,25.58,35.12,31.22
2025-02-14,25.68,35.33,31.38
2025-02-15,25.86,35.58,31.62
2025-02-16,26.87,37.29,33.43
2025-02-17,26.0,35.62,32.0
2025-02-18,26.01,35.81,31.91
2025-02-19,26.26,35.91,32.21
2025-02-20,25.1,36.0,32.3
2025-02-21,25.98,35.75,31.92
2025-02-22,26.7,36.2,32.33
2025-02-23,27.08,36.83,32.7
2025-02-24,27.08,37.08,32.95
2025-02-25,26.95,36.48,32.4
2025-02-26,26.35,35.5,30.92
2025-02-27,26.72,35.5,31.92
2025-02-28,26.41,36.0,31.92
2025-03-01,27.48,36.78,32.42
2025-03-02,26.75,36.5,32.88
2025-03-03,26.75,36.5,32.88
2025-03-04,26.75,36.4,32.83
2025-03-05,19.1,27.56,24.47
2025-03-06,26.72,36.95,32.9
2025-03-07,26.2,36.55,31.75
2025-03-08,31.43,40.29,36.86
2025-03-09,29.22,38.55,34.95
