Price Date,Min Price,Max Price,Modal Price
2025-01-22,10.0,25.0,15.0
2025-01-23,15.0,30.0,20.0
2025-01-24,15.0,30.0,20.0
2025-01-25,15.0,30.0,20.0
2025-01-26,15.0,30.0,20.0
2025-01-27,25.0,40.0,30.0
2025-01-28,25.0,40.0,30.0
2025-01-29,25.0,35.0,30.0
2025-01-30,25.0,40.0,30.0
2025-01-31,25.0,35.0,30.0
2025-02-01,20.0,30.0,25.0
2025-02-02,20.0,30.0,25.0
2025-02-03,20.0,40.0,30.0
2025-02-04,20.0,35.0,30.0
2025-02-05,20.0,40.0,30.0
2025-02-06,20.0,30.0,25.0
2025-02-07,20.0,30.0,25.0
2025-02-08,20.0,35.0,25.0
2025-02-09,20.0,40.0,30.0
2025-02-10,20.0,35.0,30.0
2025-02-11,20.0,40.0,30.0
2025-02-12,10.0,15.0,12.0
2025-02-13,10.0,20.0,15.0
2025-02-14,10.0,25.0,20.0
2025-02-15,10.0,25.0,20.0
2025-02-16,10.0,25.0,20.0
2025-02-17,15.0,25.0,20.0
2025-02-18,10.0,20.0,15.0
2025-02-19,15.0,25.0,20.0
2025-02-20,15.0,25.0,20.0
2025-02-22,15.0,25.0,20.0
2025-02-23,15.0,25.0,20.0
2025-02-24,15.0,25.0,20.0
2025-02-25,10.0,30.0,20.0
2025-02-27,15.0,25.0,20.0
2025-02-28,15.0,25.0,20.0
2025-03-01,15.0,25.0,20.0
2025-03-02,15.0,25.0,20.0
2025-03-03,15.0,25.0,20.0
2025-03-04,15.0,25.0,20.0
2025-03-05,15.0,25.0,20.0
2025-03-06,9.0,15.0,12.0
2025-03-08,9.0,15.0,12.0
2025-03-09,9.0,15.0,12.0
2025-03-10,15.0,25.0,20.0
2025-03-11,15.0,30.0,25.0
2025-03-12,15.0,25.0,20.0
2025-03-13,15.0,25.0,20.0
2025-03-14,10.0,30.0,20.0
2025-03-15,16.0,18.0,17.0
2025-03-16,10.0,20.0,15.0
2025-03-17,10.0,20.0,15.0
2025-03-18,15.0,25.0,20.0
2025-03-19,12.5,17.5,15.5
2025-03-20,12.5,17.5,15.5
2025-03-21,14.0,20.0,18.0
2025-03-22,14.0,20.0,18.0
2025-03-23,14.0,20.0,18.0
2025-03-24,14.0,20.0,18.0
2025-03-25,14.0,20.0,18.0
2025-03-26,14.0,20.0,18.0
2025-03-27,14.0,20.0,18.0
2025-03-28,15.0,25.0,20.0
2025-03-29,20.0,30.0,25.0
2025-03-30,20.0,30.0,25.0
2025-03-31,20.0,30.0,25.0
2025-04-01,15.0,25.0,20.0
2025-04-02,15.0,25.0,20.0
2025-04-03,20.0,30.0,25.0
2025-04-04,15.0,25.0,20.0
2025-04-05,16.0,27.0,21.0
2025-04-06,18.0,30.0,25.0
2025-04-07,25.0,35.0,30.0
2025-04-08,7.0,15.0,12.0
2025-04-09,7.0,15.0,12.0
2025-04-10,15.0,25.0,20.0
2025-04-11,15.0,25.0,20.0
2025-04-12,5.0,15.0,10.0
2025-04-13,5.0,15.0,10.0
2025-04-14,5.0,15.0,10.0
2025-04-15,10.0,20.0,15.0
2025-04-16,10.0,20.0,15.0
2025-04-17,10.0,20.0,15.0
2025-04-18,5.0,15.0,10.0
2025-04-19,5.0,15.0,10.0
2025-04-20,5.0,15.0,10.0
2025-04-21,10.0,20.0,15.0
2025-04-22,10.0,20.0,15.0
2025-04-23,10.0,20.0,15.0
2025-04-24,10.0,20.0,15.0
2025-04-25,7.0,15.0,11.0
2025-04-26,10.0,20.0,15.0
2025-04-27,10.0,20.0,15.0
2025-04-28,10.0,20.0,15.0
2025-04-29,10.0,20.0,15.0
2025-04-30,10.0,20.0,15.0
2025-05-01,10.0,20.0,15.0
2025-05-02,10.0,20.0,15.0
2025-05-03,10.0,20.0,15.0
2025-05-06,10.0,20.0,15.0
2025-05-07,10.0,20.0,15.0
2025-05-08,11.0,22.0,16.0
2025-05-09,11.0,22.0,16.0
2025-05-11,11.0,20.0,16.0
2025-05-12,11.0,20.0,16.0
2025-05-13,13.0,22.0,19.0
2025-05-14,13.0,20.0,19.0
2025-05-15,13.0,20.0,19.0
2025-05-16,13.0,20.0,19.0
2025-05-17,10.0,20.0,15.0
2025-05-18,13.0,20.0,19.0
2025-05-19,10.0,20.0,15.0
2025-05-20,10.0,20.0,15.0
2025-05-21,11.0,22.0,16.0
2025-05-22,11.0,22.0,16.0
2025-05-23,10.0,20.0,15.0
2025-05-24,10.0,20.0,15.0
2025-05-26,10.0,22.0,16.0
2025-05-27,10.0,22.0,16.0
2025-05-28,10.0,20.0,15.0
2025-05-29,10.0,20.0,15.0
2025-05-30,9.0,22.0,16.0
2025-05-31,30.0,50.0,40.0
2025-06-02,30.0,50.0,40.0
2025-06-03,30.0,50.0,40.0
2025-06-04,30.0,50.0,40.0
2025-06-05,30.0,50.0,40.0
2025-06-06,30.0,50.0,40.0
2025-06-07,20.0,40.0,30.0
2025-06-08,20.0,40.0,30.0
2025-06-09,20.0,40.0,30.0
2025-06-10,30.0,50.0,40.0
2025-06-11,30.0,50.0,40.0
2025-06-12,30.0,50.0,40.0
2025-06-13,30.0,50.0,40.0
2025-06-14,25.0,45.0,35.0
2025-06-15,25.0,45.0,35.0
2025-06-16,30.0,50.0,40.0
2025-06-17,30.0,50.0,40.0
2025-06-18,25.0,45.0,35.0
2025-06-19,25.0,45.0,35.0
2025-06-20,30.0,50.0,40.0
2025-06-21,30.0,40.0,35.0
2025-06-23,30.0,50.0,40.0
2025-06-24,30.0,50.0,40.0
2025-06-25,25.0,45.0,35.0
2025-06-26,30.0,50.0,40.0
2025-06-27,25.0,45.0,35.0
2025-06-28,25.0,45.0,35.0
2025-06-30,30.0,50.0,40.0
2025-07-01,25.0,45.0,35.0
2025-07-02,10.0,30.0,20.0
2025-07-03,20.0,40.0,30.0
2025-07-04,10.0,30.0,15.0
2025-07-05,10.0,30.0,15.0
2025-07-07,15.0,25.0,20.0
2025-07-08,10.0,30.0,20.0
2025-07-09,10.0,30.0,20.0
2025-07-10,15.0,35.0,25.0
2025-07-11,15.0,35.0,25.0
2025-07-12,15.0,35.0,25.0
2025-07-13,15.0,35.0,25.0
2025-07-14,20.0,40.0,30.0
2025-07-15,10.0,20.0,15.0
2025-07-16,10.0,20.0,15.0
2025-07-17,10.0,20.0,15.0
2025-07-18,10.0,25.0,15.0
2025-07-19,10.0,25.0,15.0
2025-07-20,10.0,20.0,15.0
2025-07-21,10.0,20.0,15.0
2025-07-22,10.0,22.0,16.0
2025-07-23,10.0,22.0,16.0
2025-07-24,10.0,22.0,16.0
2025-07-25,10.0,20.0,15.0
2025-07-26,6.0,15.0,11.0
2025-07-28,5.0,15.0,10.0
2025-07-29,10.0,20.0,15.0
2025-07-31,10.0,20.0,15.0
2025-08-01,10.0,20.0,15.0
2025-08-02,10.0,20.0,15.0
2025-08-04,10.0,15.0,12.0
2025-08-05,10.0,15.0,12.0
2025-08-06,10.0,15.0,12.0
2025-08-07,10.0,15.0,12.0
2025-08-08,10.0,15.0,12.0
2025-08-12,10.0,15.0,12.0
2025-08-13,10.0,20.0,15.0
2025-08-14,9.0,15.0,12.0
2025-08-15,9.0,15.0,12.0
2025-08-16,9.0,15.0,12.0
2025-08-17,9.0,15.0,12.0
2025-08-19,25.0,40.0,30.0
2025-08-20,25.0,40.0,30.0
2025-08-21,25.0,40.0,30.0
2025-08-22,30.0,50.0,40.0
2025-08-23,30.0,45.0,40.0
2025-08-24,30.0,45.0,40.0
2025-08-25,30.0,50.0,40.0
2025-08-26,30.0,50.0,40.0
2025-08-27,30.0,45.0,40.0
2025-08-28,10.0,30.0,20.0
2025-08-29,10.0,30.0,20.0
2025-08-30,10.0,30.0,20.0
2025-08-31,10.0,20.0,15.0
2025-09-01,10.0,30.0,15.0
2025-09-02,10.0,30.0,15.0
2025-09-03,20.0,40.0,30.0
2025-09-04,20.0,40.0,30.0
2025-09-05,20.0,40.0,30.0
2025-09-06,20.0,40.0,30.0
2025-09-08,30.0,50.0,40.0
2025-09-09,8.0,15.0,10.0
2025-09-10,8.0,15.0,10.0
2025-09-11,10.0,20.0,15.0
2025-09-12,10.0,20.0,15.0
2025-09-13,10.0,20.0,15.0
2025-09-14,10.0,20.0,15.0
2025-09-15,10.0,25.0,15.0
2025-09-16,10.0,30.0,15.0
2025-09-17,10.0,30.0,15.0
