Price Date,Min Price,Max Price,Modal Price
2025-01-22,20.0,35.0,25.0
2025-01-23,25.0,40.0,30.0
2025-01-24,25.0,40.0,30.0
2025-01-25,25.0,40.0,30.0
2025-01-26,25.0,40.0,30.0
2025-01-27,30.0,50.0,40.0
2025-01-28,30.0,50.0,40.0
2025-01-29,30.0,45.0,40.0
2025-01-30,30.0,50.0,40.0
2025-01-31,30.0,50.0,40.0
2025-02-01,25.0,40.0,30.0
2025-02-02,30.0,40.0,35.0
2025-02-03,30.0,50.0,40.0
2025-02-04,30.0,40.0,35.0
2025-02-05,25.0,45.0,35.0
2025-02-06,25.0,40.0,35.0
2025-02-07,25.0,40.0,35.0
2025-02-08,25.0,45.0,35.0
2025-02-09,25.0,40.0,30.0
2025-02-10,30.0,45.0,40.0
2025-02-11,30.0,40.0,35.0
2025-02-12,20.0,35.0,30.0
2025-02-13,20.0,35.0,30.0
2025-02-14,10.0,30.0,20.0
2025-02-15,10.0,30.0,20.0
2025-02-16,10.0,30.0,20.0
2025-02-17,25.0,35.0,30.0
2025-02-18,10.0,30.0,20.0
2025-02-19,25.0,35.0,30.0
2025-02-20,25.0,35.0,30.0
2025-02-21,25.0,35.0,30.0
2025-02-22,25.0,35.0,30.0
2025-02-23,25.0,35.0,30.0
2025-02-24,20.0,30.0,25.0
2025-02-25,25.0,35.0,30.0
2025-02-26,20.0,30.0,25.0
2025-02-27,20.0,30.0,25.0
2025-02-28,20.0,30.0,25.0
2025-03-01,25.0,35.0,30.0
2025-03-02,25.0,35.0,30.0
2025-03-03,15.0,25.0,20.0
2025-03-04,15.0,25.0,20.0
2025-03-05,20.0,30.0,25.0
2025-03-06,20.0,30.0,25.0
2025-03-07,20.0,30.0,25.0
2025-03-08,20.0,30.0,25.0
2025-03-09,20.0,30.0,25.0
2025-03-10,20.0,30.0,25.0
2025-03-11,20.0,30.0,25.0
2025-03-12,20.0,40.0,30.0
2025-03-13,20.0,40.0,30.0
2025-03-14,25.0,45.0,35.0
2025-03-15,20.0,40.0,30.0
2025-03-16,20.0,40.0,30.0
2025-03-17,40.0,50.0,45.0
2025-03-18,25.0,45.0,35.0
2025-03-19,20.0,40.0,30.0
2025-03-20,20.0,40.0,30.0
2025-03-21,20.0,40.0,30.0
2025-03-22,20.0,40.0,30.0
2025-03-23,20.0,40.0,30.0
2025-03-24,20.0,40.0,30.0
2025-03-25,20.0,40.0,30.0
2025-03-26,20.0,40.0,30.0
2025-03-27,25.0,45.0,35.0
2025-03-28,30.0,50.0,40.0
2025-03-29,25.0,40.0,30.0
2025-03-30,25.0,40.0,30.0
2025-03-31,25.0,40.0,30.0
2025-04-01,25.0,45.0,30.0
2025-04-02,25.0,45.0,30.0
2025-04-03,30.0,50.0,40.0
2025-04-04,20.0,40.0,30.0
2025-04-05,20.0,40.0,30.0
2025-04-07,25.0,45.0,35.0
2025-04-08,30.0,50.0,40.0
2025-04-09,30.0,50.0,40.0
2025-04-10,30.0,50.0,40.0
2025-04-11,30.0,50.0,40.0
2025-04-12,30.0,50.0,40.0
2025-04-13,30.0,50.0,40.0
2025-04-14,30.0,50.0,40.0
2025-04-15,30.0,50.0,40.0
2025-04-16,35.0,55.0,45.0
2025-04-17,30.0,50.0,40.0
2025-04-18,25.0,45.0,35.0
2025-04-19,30.0,50.0,40.0
2025-04-20,30.0,45.0,40.0
2025-04-21,30.0,50.0,40.0
2025-04-22,30.0,50.0,40.0
2025-04-23,30.0,50.0,40.0
2025-04-24,30.0,50.0,40.0
2025-04-25,25.0,45.0,35.0
2025-04-26,30.0,50.0,40.0
2025-04-27,30.0,50.0,40.0
2025-04-28,35.0,55.0,45.0
2025-04-30,35.0,55.0,45.0
2025-05-01,35.0,55.0,45.0
2025-05-02,35.0,55.0,45.0
2025-05-03,35.0,55.0,45.0
2025-05-06,30.0,50.0,40.0
2025-05-07,30.0,50.0,40.0
2025-05-08,30.0,50.0,40.0
2025-05-09,30.0,50.0,40.0
2025-05-11,30.0,50.0,40.0
2025-05-12,30.0,50.0,40.0
2025-05-13,30.0,50.0,40.0
2025-05-14,30.0,50.0,40.0
2025-05-15,30.0,50.0,40.0
2025-05-16,30.0,50.0,40.0
2025-05-17,30.0,50.0,40.0
2025-05-18,30.0,50.0,40.0
2025-05-19,30.0,50.0,40.0
2025-05-20,30.0,50.0,40.0
2025-05-21,30.0,50.0,40.0
2025-05-22,30.0,50.0,40.0
2025-05-23,30.0,50.0,40.0
2025-05-24,30.0,50.0,40.0
2025-05-26,30.0,50.0,40.0
2025-05-27,30.0,50.0,40.0
2025-05-28,30.0,50.0,40.0
2025-05-29,30.0,50.0,40.0
2025-05-30,30.0,50.0,40.0
2025-05-31,20.0,30.0,25.0
2025-06-02,20.0,30.0,25.0
2025-06-03,20.0,30.0,25.0
2025-06-04,20.0,30.0,25.0
2025-06-05,20.0,30.0,25.0
2025-06-06,20.0,30.0,25.0
2025-06-07,20.0,30.0,25.0
2025-06-08,20.0,30.0,25.0
2025-06-09,20.0,30.0,25.0
2025-06-10,25.0,45.0,35.0
2025-06-11,25.0,45.0,35.0
2025-06-12,25.0,45.0,35.0
2025-06-13,25.0,45.0,35.0
2025-06-14,30.0,50.0,40.0
2025-06-15,30.0,50.0,40.0
2025-06-16,25.0,45.0,35.0
2025-06-17,25.0,45.0,35.0
2025-06-18,30.0,50.0,40.0
2025-06-19,30.0,50.0,40.0
2025-06-20,30.0,40.0,35.0
2025-06-21,25.0,35.0,30.0
2025-06-23,20.0,40.0,30.0
2025-06-24,20.0,40.0,30.0
2025-06-25,25.0,45.0,35.0
2025-06-26,30.0,50.0,40.0
2025-06-28,20.0,40.0,30.0
2025-06-30,25.0,45.0,35.0
2025-07-01,30.0,50.0,40.0
2025-07-02,35.0,55.0,45.0
2025-07-03,30.0,50.0,40.0
2025-07-04,25.0,45.0,35.0
2025-07-05,25.0,45.0,35.0
2025-07-07,20.0,40.0,30.0
2025-07-08,30.0,50.0,40.0
2025-07-09,30.0,50.0,40.0
2025-07-10,25.0,45.0,35.0
2025-07-11,30.0,50.0,40.0
2025-07-12,30.0,50.0,40.0
2025-07-13,30.0,50.0,40.0
2025-07-14,25.0,45.0,35.0
2025-07-15,20.0,40.0,30.0
2025-07-16,20.0,40.0,30.0
2025-07-17,25.0,45.0,35.0
2025-07-18,30.0,50.0,40.0
2025-07-19,30.0,50.0,40.0
2025-07-20,25.0,45.0,35.0
2025-07-21,25.0,45.0,35.0
2025-07-22,20.0,40.0,30.0
2025-07-25,25.0,45.0,35.0
2025-07-28,20.0,40.0,30.0
2025-07-29,15.0,35.0,25.0
2025-07-31,15.0,35.0,25.0
2025-08-01,15.0,35.0,25.0
2025-08-02,15.0,35.0,25.0
2025-08-04,40.0,60.0,50.0
2025-08-05,40.0,60.0,50.0
2025-08-06,40.0,60.0,50.0
2025-08-07,40.0,60.0,50.0
2025-08-08,40.0,60.0,50.0
2025-08-12,40.0,60.0,50.0
2025-08-13,50.0,70.0,60.0
2025-08-14,40.0,60.0,50.0
2025-08-15,40.0,60.0,50.0
2025-08-16,35.0,55.0,45.0
2025-08-17,35.0,55.0,45.0
2025-08-18,30.0,50.0,40.0
2025-08-20,30.0,50.0,40.0
2025-08-21,30.0,50.0,40.0
2025-08-22,30.0,40.0,35.0
2025-08-23,30.0,40.0,35.0
2025-08-24,30.0,40.0,35.0
2025-08-25,30.0,40.0,35.0
2025-08-26,30.0,40.0,35.0
2025-08-27,30.0,40.0,35.0
2025-08-28,30.0,50.0,40.0
2025-08-29,30.0,50.0,40.0
2025-08-30,30.0,50.0,40.0
2025-08-31,30.0,50.0,40.0
2025-09-01,30.0,50.0,40.0
2025-09-02,30.0,50.0,40.0
2025-09-03,30.0,45.0,40.0
2025-09-04,30.0,45.0,40.0
2025-09-05,30.0,50.0,40.0
2025-09-06,20.0,40.0,30.0
2025-09-08,30.0,45.0,40.0
2025-09-09,25.0,40.0,30.0
2025-09-10,25.0,40.0,30.0
2025-09-12,25.0,35.0,30.0
2025-09-13,25.0,35.0,30.0
2025-09-14,25.0,35.0,30.0
2025-09-15,25.0,40.0,30.0
2025-09-16,25.0,40.0,30.0
2025-09-17,25.0,40.0,30.0
2025-09-18,20.0,40.0,30.0
2025-09-19,20.0,40.0,30.0
2025-09-20,20.0,40.0,30.0
2025-09-21,20.0,40.0,30.0
2025-09-22,20.0,40.0,30.0
2025-09-23,10.0,20.0,15.0
2025-09-24,20.0,40.0,30.0
2025-09-25,20.0,40.0,30.0
2025-09-26,25.0,35.0,30.0
2025-09-27,25.0,40.0,30.0
2025-09-28,25.0,40.0,30.0
2025-09-29,25.0,40.0,30.0
2025-10-01,25.0,42.0,35.0
2025-10-03,25.0,40.0,30.0
2025-10-04,25.0,40.0,30.0
2025-10-05,25.0,40.0,30.0
2025-10-06,40.0,60.0,50.0
2025-10-07,40.0,50.0,45.0
2025-10-08,40.0,50.0,45.0
2025-10-09,35.0,45.0,40.0
2025-10-10,30.0,50.0,40.0
2025-10-11,30.0,50.0,40.0
2025-10-12,30.0,50.0,40.0
2025-10-13,30.0,45.0,40.0
