Price Date,Min Price,Max Price,Modal Price
2025-01-02,20.0,32.0,26.0
2025-01-03,25.5,30.0,27.5
2025-01-04,27.0,32.0,29.5
2025-01-05,30.0,32.0,31.0
2025-01-06,25.0,32.0,28.5
2025-01-07,25.0,31.0,28.0
2025-01-08,23.0,28.0,25.5
2025-01-09,24.0,30.0,27.0
2025-01-10,26.0,34.0,30.0
2025-01-11,34.0,42.0,38.0
2025-01-16,30.0,40.0,35.0
2025-01-17,34.0,41.0,37.0
2025-01-18,33.0,38.0,35.5
2025-01-20,31.0,38.0,34.5
2025-01-21,29.33,38.33,33.67
2025-01-22,30.67,39.0,33.0
2025-01-23,28.67,36.67,32.33
2025-01-24,26.67,33.0,29.67
2025-01-25,27.33,34.67,30.67
2025-01-27,27.0,34.33,30.33
2025-01-28,26.33,35.67,31.33
2025-01-29,27.0,40.67,30.67
2025-01-30,26.67,35.33,29.33
2025-01-31,28.33,35.0,31.0
2025-02-01,21.38,27.75,23.88
2025-02-03,23.88,30.12,26.55
2025-02-04,31.67,42.0,36.67
2025-02-05,32.0,41.33,37.33
2025-02-06,38.33,48.33,41.67
2025-02-07,39.33,49.33,44.0
2025-02-08,46.0,57.0,52.0
2025-02-10,44.5,60.0,55.0
2025-02-11,39.33,52.0,45.0
2025-02-12,37.33,51.33,41.67
2025-02-13,27.38,37.12,32.0
2025-02-14,30.12,38.12,34.0
2025-02-15,38.33,49.67,44.0
2025-02-17,40.67,50.67,45.67
2025-02-18,40.33,50.67,44.67
2025-02-19,38.0,53.67,44.33
2025-02-20,41.33,57.0,47.0
2025-02-21,45.0,56.33,51.33
2025-02-22,46.67,61.0,54.0
2025-02-23,44.0,65.0,60.0
2025-02-24,48.0,61.33,57.0
2025-02-25,42.33,60.33,53.67
2025-02-26,46.33,64.67,54.67
2025-02-27,48.0,67.0,56.67
2025-02-28,48.33,65.0,58.33
2025-03-01,53.33,70.67,62.33
2025-03-03,68.0,90.67,80.0
2025-03-04,83.0,115.0,103.33
2025-03-05,72.33,105.67,91.67
2025-03-06,55.0,80.33,64.0
2025-03-07,53.0,71.67,58.33
2025-03-08,58.33,75.33,67.67
2025-03-10,65.0,84.0,74.33
2025-03-11,70.0,87.5,80.0
2025-03-12,57.5,78.0,71.5
2025-03-13,60.0,80.0,73.0
2025-03-14,62.67,79.33,71.0
2025-03-15,65.0,83.0,74.0
2025-03-17,72.33,89.0,80.33
2025-03-18,72.0,92.0,84.0
2025-03-19,66.0,92.0,82.67
2025-03-20,70.0,87.0,80.33
2025-03-21,63.33,80.33,73.0
2025-03-22,55.0,77.5,69.5
2025-03-24,58.33,73.33,66.33
2025-03-25,56.67,74.67,66.33
2025-03-26,56.0,72.67,65.0
2025-03-27,53.33,75.33,61.67
2025-03-28,53.33,74.67,64.0
2025-03-29,58.33,80.0,69.0
2025-03-31,90.0,123.0,106.0
2025-04-01,77.5,95.0,86.0
2025-04-02,71.0,97.33,80.0
2025-04-03,61.67,98.0,73.33
2025-04-04,61.67,93.33,72.33
2025-04-05,63.33,95.67,75.0
2025-04-07,60.0,99.33,75.0
2025-04-08,60.0,97.33,77.67
2025-04-09,60.0,96.67,73.33
2025-04-10,50.0,80.67,61.0
2025-04-11,45.0,79.33,56.67
2025-04-12,70.0,95.0,80.0
2025-04-14,64.33,101.0,77.0
2025-04-15,63.33,100.67,81.0
2025-04-16,55.0,88.67,68.33
2025-04-17,53.33,88.33,71.0
2025-04-18,60.0,73.0,64.5
2025-04-19,60.0,92.67,73.0
2025-04-21,61.67,95.67,75.0
2025-04-22,61.33,92.67,72.67
2025-04-23,59.0,90.0,71.33
2025-04-24,61.33,95.33,73.0
2025-04-25,60.0,93.0,72.33
2025-04-26,59.33,94.67,73.0
2025-04-28,58.33,93.33,69.67
2025-04-29,55.0,97.0,69.5
2025-04-30,51.67,78.33,62.33
2025-05-01,47.5,92.0,63.5
2025-05-02,46.67,79.0,58.33
2025-05-03,35.0,50.0,42.5
2025-05-05,33.33,72.67,41.67
2025-05-06,35.0,67.0,43.33
2025-05-07,30.0,56.0,37.67
2025-05-08,24.33,51.0,33.33
2025-05-09,21.67,46.67,30.33
2025-05-10,23.33,53.0,34.67
2025-05-12,31.67,60.0,41.67
2025-05-13,36.67,65.67,47.33
2025-05-14,33.33,62.0,41.67
2025-05-15,31.67,58.0,43.33
2025-05-16,31.67,55.0,39.0
2025-05-17,30.67,49.67,36.0
2025-05-19,20.0,37.33,28.33
2025-05-20,17.33,30.0,20.67
2025-05-21,18.0,30.0,21.67
2025-05-22,17.67,29.0,21.33
2025-05-23,21.0,39.0,28.0
2025-05-24,30.0,40.5,34.5
2025-05-25,21.0,45.0,30.0
2025-05-26,20.0,30.0,25.0
2025-05-27,13.67,27.33,18.33
2025-05-28,12.33,20.67,15.33
2025-05-29,11.67,24.0,16.0
2025-05-30,15.0,27.33,18.67
2025-05-31,15.67,26.67,19.0
2025-06-02,17.33,29.33,23.0
2025-06-03,16.0,27.0,21.67
2025-06-04,11.33,23.33,15.33
2025-06-05,9.33,19.67,13.33
2025-06-06,12.0,18.0,15.0
2025-06-07,11.0,20.0,15.5
2025-06-08,9.0,27.0,16.0
2025-06-09,13.0,23.33,17.33
2025-06-10,16.67,28.67,22.0
2025-06-11,16.33,26.0,21.67
2025-06-12,17.67,28.67,23.33
2025-06-13,17.33,29.0,23.33
2025-06-14,17.5,25.5,21.5
2025-06-16,13.0,25.33,18.33
2025-06-17,7.5,11.0,9.0
2025-06-18,7.33,13.33,9.0
2025-06-19,9.0,13.5,11.5
2025-06-20,10.33,19.67,14.33
2025-06-21,14.0,25.33,19.0
2025-06-23,11.0,19.67,14.67
2025-06-24,9.33,17.33,12.67
2025-06-25,12.0,22.0,15.0
2025-06-26,10.33,18.67,13.33
2025-06-27,8.67,16.67,12.0
2025-06-28,9.0,16.33,11.67
2025-06-29,7.0,18.0,11.0
2025-06-30,10.0,15.0,12.5
2025-07-01,10.0,18.67,13.33
2025-07-02,10.67,17.67,13.67
2025-07-03,9.67,18.0,14.0
2025-07-04,10.67,18.33,13.33
2025-07-05,9.67,17.33,13.0
2025-07-07,9.33,17.67,12.33
2025-07-08,10.0,16.0,12.33
2025-07-09,7.5,15.5,9.0
2025-07-10,7.33,13.33,9.33
2025-07-11,9.67,16.33,12.33
2025-07-12,10.0,18.33,14.67
2025-07-14,10.33,20.0,14.0
2025-07-15,8.67,18.67,11.67
2025-07-16,8.67,16.33,11.0
2025-07-17,8.0,15.0,10.0
2025-07-18,9.67,16.0,11.33
2025-07-19,10.0,12.0,11.0
2025-07-21,11.0,22.5,13.5
2025-07-22,12.0,23.0,16.5
2025-07-23,9.0,23.0,17.0
2025-07-24,13.0,26.5,21.0
2025-07-25,16.0,22.0,19.0
2025-07-26,14.5,27.0,19.0
2025-07-28,11.67,23.0,19.0
2025-07-29,10.33,20.33,12.67
2025-07-30,8.0,17.33,11.67
2025-07-31,8.67,15.33,11.67
2025-08-01,9.33,16.33,11.67
2025-08-02,10.67,20.33,14.0
2025-08-04,14.0,20.0,17.0
2025-08-05,13.33,26.67,20.33
2025-08-06,14.0,25.33,21.33
2025-08-07,13.0,19.0,16.0
2025-08-08,12.33,23.67,19.33
2025-08-09,12.67,23.67,18.33
2025-08-11,20.0,33.67,27.0
2025-08-12,19.67,31.67,25.67
2025-08-13,18.67,29.33,24.33
2025-08-14,14.5,29.0,18.5
2025-08-15,15.5,27.0,20.5
2025-08-16,23.33,33.67,29.33
2025-08-18,26.33,38.67,33.0
2025-08-19,26.0,40.67,34.33
2025-08-20,28.0,38.67,34.33
2025-08-21,25.33,37.67,32.0
2025-08-22,17.0,28.33,22.33
2025-08-23,16.33,26.33,20.33
2025-08-25,16.5,23.0,20.0
2025-08-26,14.67,22.67,18.67
2025-08-27,17.33,27.33,22.33
2025-08-28,18.0,32.0,24.0
2025-08-29,19.0,28.0,23.0
2025-08-30,23.67,31.33,27.0
2025-09-01,20.0,30.67,25.67
2025-09-02,22.67,31.67,26.0
2025-09-03,20.67,30.0,25.33
2025-09-04,19.33,27.33,23.0
2025-09-05,16.33,25.33,20.67
2025-09-06,16.0,24.67,20.0
2025-09-08,15.33,26.0,20.33
2025-09-09,17.67,25.33,21.33
2025-09-10,16.0,23.67,19.67
2025-09-11,18.33,26.67,22.67
2025-09-12,22.0,29.0,25.5
2025-09-13,23.5,30.0,26.5
2025-09-15,20.33,29.67,25.67
2025-09-16,19.0,31.0,25.0
2025-09-17,18.0,30.0,24.0
2025-09-18,19.33,27.33,23.0
2025-09-19,16.33,27.67,19.67
2025-09-20,17.67,25.67,21.33
2025-09-22,18.33,27.33,22.67
2025-09-23,21.67,27.67,24.33
2025-09-24,18.0,24.0,21.0
2025-09-25,17.0,25.0,20.67
2025-09-26,14.5,21.5,18.0
2025-09-27,14.0,22.33,17.67
2025-09-29,17.0,24.5,20.5
2025-09-30,20.0,28.5,23.5
2025-10-01,19.0,26.0,22.5
2025-10-02,14.0,21.5,17.5
2025-10-03,10.67,17.33,13.33
2025-10-04,13.67,22.33,17.33
2025-10-06,20.0,28.33,23.33
2025-10-07,19.33,26.67,22.33
2025-10-08,15.0,22.67,18.33
2025-10-09,13.67,20.67,17.0
2025-10-10,11.67,17.67,14.67
