Price Date,Min Price,Max Price,Modal Price
2025-05-03,40.0,70.0,50.0
2025-05-04,45.0,75.0,55.0
2025-05-05,70.0,85.0,80.0
2025-05-06,17.67,35.0,23.33
2025-05-07,19.0,36.0,27.33
2025-05-08,18.33,35.67,25.0
2025-05-09,21.67,32.33,27.33
2025-05-10,21.67,29.33,25.67
2025-05-11,21.67,33.67,30.67
2025-05-12,19.0,32.33,26.67
2025-05-13,15.0,30.33,21.0
2025-05-14,11.67,28.33,20.0
2025-05-15,16.67,35.0,24.0
2025-05-16,18.33,33.33,25.0
2025-05-17,18.33,33.33,23.33
2025-05-18,15.0,30.25,20.75
2025-05-19,16.7,25.0,23.25
2025-05-20,20.29,28.86,24.71
2025-05-21,17.1,26.5,21.05
2025-05-22,16.56,26.67,21.0
2025-05-23,17.67,27.0,23.11
2025-05-24,17.44,25.0,20.89
2025-05-25,18.29,28.14,22.57
2025-05-26,17.44,26.22,21.67
2025-05-27,17.78,25.78,22.0
2025-05-28,16.67,25.67,21.06
2025-05-29,17.11,24.67,21.28
2025-05-30,14.0,27.14,21.07
2025-05-31,16.78,24.89,20.56
2025-06-01,17.0,28.6,24.2
2025-06-02,16.33,25.0,20.75
2025-06-03,15.33,26.78,20.94
2025-06-04,15.88,25.88,21.75
2025-06-05,14.6,23.7,19.65
2025-06-06,13.22,23.0,18.39
2025-06-07,11.29,22.14,16.43
2025-06-08,11.29,24.0,17.14
2025-06-09,13.0,23.75,17.81
2025-06-10,14.0,24.9,20.2
2025-06-11,15.2,23.7,19.2
2025-06-12,13.71,23.0,18.21
2025-06-13,14.1,23.0,18.2
2025-06-14,19.4,24.2,21.4
2025-06-15,19.2,24.4,21.6
2025-06-16,18.38,23.62,20.81
2025-06-17,17.8,25.3,21.15
2025-06-18,18.1,25.05,21.75
2025-06-19,17.3,24.1,20.55
2025-06-20,17.22,24.89,21.0
2025-06-21,16.36,23.82,20.36
2025-06-22,14.9,22.2,18.7
2025-06-23,17.78,25.33,21.83
2025-06-24,17.2,23.0,20.25
2025-06-25,16.11,21.67,19.0
2025-06-26,17.86,21.71,19.86
2025-06-27,13.5,17.5,15.42
2025-06-28,15.71,21.14,18.64
2025-06-29,19.25,24.5,22.0
2025-06-30,15.12,21.62,18.31
2025-07-01,15.62,21.75,18.69
2025-07-02,9.0,13.0,11.12
2025-07-03,9.0,13.0,11.12
2025-07-04,14.5,20.0,17.25
2025-07-05,14.5,20.0,17.25
2025-07-06,4.0,8.5,7.0
2025-07-07,9.25,14.25,12.12
2025-07-08,15.29,21.43,18.36
2025-07-09,16.0,22.4,20.2
2025-07-10,15.6,21.4,19.2
2025-07-11,12.0,18.75,15.25
2025-07-12,6.0,9.5,8.0
2025-07-13,6.0,9.5,8.25
2025-07-14,6.0,9.5,8.0
2025-07-15,10.5,15.5,13.25
2025-07-16,13.8,18.0,16.0
2025-07-17,12.0,16.0,14.4
2025-07-18,6.0,9.5,8.0
