Price Date,Min Price,Max Price,Modal Price
2025-01-06,13.3,27.29,24.59
2025-01-07,10.45,30.19,23.85
2025-01-08,15.89,27.69,22.5
2025-01-09,11.05,24.59,18.85
2025-01-10,6.29,24.1,16.25
2025-01-11,5.38,24.69,16.39
2025-01-15,40.0,45.0,42.0
2025-01-16,26.3,34.3,32.8
2025-01-17,9.67,25.89,17.95
2025-01-18,12.37,26.51,23.89
2025-01-20,8.17,25.89,22.37
2025-01-21,15.45,26.09,18.45
2025-01-22,22.82,30.56,28.34
2025-01-23,24.9,35.33,31.54
2025-01-24,27.68,37.54,35.58
2025-01-25,21.44,32.3,30.44
2025-01-26,35.0,40.0,38.0
2025-01-27,19.0,32.65,28.18
2025-01-28,21.1,31.84,26.94
2025-01-29,35.0,40.0,38.0
2025-01-30,21.44,31.64,26.55
2025-01-31,18.52,31.36,25.65
2025-02-01,22.62,30.9,25.44
2025-02-02,30.0,35.0,32.0
2025-02-03,17.72,31.54,25.72
2025-02-04,17.54,28.3,22.75
2025-02-05,19.78,28.75,24.1
2025-02-06,18.59,29.3,23.96
2025-02-07,17.58,29.06,25.04
2025-02-08,17.58,29.74,28.24
2025-02-09,30.0,35.0,32.0
2025-02-10,21.47,31.2,27.84
2025-02-11,23.12,33.44,27.22
2025-02-12,24.18,33.84,29.07
2025-02-13,18.3,32.1,30.1
2025-02-14,23.26,33.02,28.02
2025-02-15,23.14,32.7,28.7
2025-02-17,9.27,26.99,23.89
2025-02-18,6.02,32.32,17.14
2025-02-19,6.82,28.21,24.69
2025-02-20,6.59,26.0,16.7
2025-02-21,8.17,25.39,15.6
2025-02-22,8.42,28.29,22.14
2025-02-24,7.01,25.61,20.14
2025-02-25,7.85,26.44,16.87
2025-02-28,8.32,27.29,18.31
2025-03-01,8.42,26.71,20.91
2025-03-03,6.87,28.0,22.89
2025-03-04,11.66,26.89,17.6
2025-03-05,6.59,24.89,17.21
2025-03-06,7.45,22.59,15.85
2025-03-07,5.67,19.89,14.4
2025-03-08,5.06,19.21,12.9
2025-03-10,5.17,15.37,11.87
2025-03-11,5.17,14.89,8.6
2025-03-12,5.17,14.19,9.95
2025-03-13,4.99,14.82,12.87
2025-03-15,5.85,14.09,7.44
2025-03-17,6.15,15.29,11.35
2025-03-18,8.39,15.91,11.05
2025-03-19,4.99,16.4,12.85
2025-03-20,7.45,16.58,11.5
2025-03-21,9.35,15.92,11.55
2025-03-24,5.54,16.59,8.95
2025-03-25,6.12,16.6,12.54
2025-03-26,6.52,15.91,11.62
2025-03-27,6.12,14.19,10.9
2025-04-02,6.15,15.59,10.87
2025-04-03,7.19,15.89,13.39
2025-04-04,7.65,14.69,8.6
2025-04-07,5.0,13.89,10.59
2025-04-08,5.17,13.48,8.87
2025-04-09,5.15,13.09,9.09
2025-04-10,4.95,10.5,8.18
2025-04-11,5.12,14.78,8.59
2025-04-12,5.14,9.59,6.52
2025-04-15,5.05,11.09,8.6
2025-04-16,5.05,8.89,7.35
2025-04-17,6.15,8.49,7.55
2025-04-19,5.1,10.35,8.59
2025-04-21,5.65,12.65,11.19
2025-04-22,5.05,12.59,11.27
2025-04-23,5.35,10.0,7.37
2025-04-24,5.08,13.1,8.25
2025-04-25,5.87,12.09,10.65
2025-04-28,5.15,11.89,7.7
2025-04-29,5.05,9.39,6.97
2025-04-30,6.45,10.59,8.45
2025-05-02,5.1,11.17,10.79
2025-05-03,5.67,10.89,8.59
2025-05-05,5.06,8.67,8.67
2025-05-06,6.25,9.29,7.39
2025-05-07,5.57,10.65,8.6
2025-05-08,5.85,9.35,8.15
2025-05-12,11.25,11.25,11.25
2025-05-13,6.3,9.59,9.59
2025-05-14,9.55,10.65,9.55
2025-05-15,8.95,8.95,8.95
2025-05-16,5.27,10.15,6.95
2025-05-17,7.85,8.6,8.6
2025-05-23,7.49,7.85,7.85
2025-05-26,5.05,9.05,9.05
2025-06-03,6.05,6.05,6.05
2025-06-09,6.05,6.05,6.05
2025-06-13,5.25,5.25,5.25
2025-06-30,10.45,10.45,10.45
2025-07-01,12.47,12.47,12.47
2025-07-08,12.59,12.59,12.59
2025-07-10,10.45,13.25,13.25
2025-07-12,6.65,13.2,10.55
2025-07-15,8.59,17.11,14.75
2025-07-16,7.25,12.95,12.95
2025-07-17,9.19,9.19,9.19
2025-07-18,12.95,12.95,12.95
2025-07-19,10.69,11.37,11.37
2025-07-21,13.09,13.09,13.09
2025-07-22,8.45,12.75,12.75
2025-07-23,9.15,12.85,12.85
2025-07-25,6.85,7.6,7.6
2025-07-26,11.21,12.61,11.21
2025-07-28,8.15,11.25,11.25
2025-07-29,9.35,11.17,10.37
2025-07-30,9.09,12.61,12.61
2025-07-31,11.75,11.75,11.75
2025-08-01,7.45,9.81,7.45
2025-08-02,11.15,12.55,11.29
2025-08-04,5.45,13.4,10.89
2025-08-05,10.69,13.89,12.39
2025-08-06,9.55,11.67,11.67
2025-08-07,10.49,14.09,14.09
2025-08-09,9.85,11.65,10.45
2025-08-11,8.59,11.41,9.65
2025-08-12,6.67,14.37,14.37
2025-08-13,5.45,12.87,11.69
2025-08-14,9.67,12.67,9.67
2025-08-19,5.89,15.29,13.89
2025-08-20,5.35,12.59,11.09
2025-08-21,5.09,11.29,8.09
2025-08-22,5.05,15.99,10.39
2025-08-25,5.1,13.29,10.75
2025-08-26,5.11,12.91,8.55
2025-08-28,5.2,11.49,7.39
2025-08-29,5.01,11.19,6.59
2025-08-30,5.1,12.0,8.25
2025-09-01,12.0,13.29,12.0
2025-09-02,12.0,13.59,12.0
2025-09-03,12.0,12.15,12.0
2025-09-06,5.01,12.49,6.28
2025-09-08,2.01,12.0,6.34
2025-09-09,2.0,12.0,5.84
2025-09-10,2.01,12.09,5.07
2025-09-11,1.5,12.0,5.19
2025-09-24,3.87,10.09,4.89
2025-09-25,1.11,11.58,5.3
2025-09-27,2.75,9.35,5.85
2025-09-29,1.55,14.29,8.39
2025-10-03,5.05,5.39,5.09
2025-10-04,3.45,14.39,7.65
2025-10-06,3.06,15.61,7.85
2025-10-07,2.45,13.09,6.77
2025-10-08,2.53,12.89,8.0
2025-10-09,2.18,11.81,5.85
2025-10-10,1.52,14.69,6.31
2025-10-11,2.08,12.89,5.87
2025-10-13,2.08,12.4,6.1
2025-10-14,2.08,10.59,5.8
2025-10-15,2.15,11.09,5.62
2025-10-17,2.09,11.79,5.11
2025-10-18,2.01,11.29,5.76
2025-10-22,2.09,11.59,5.21
2025-10-23,2.16,9.35,4.76
2025-10-24,2.38,8.7,5.11
2025-10-25,2.45,10.09,6.59
2025-10-27,3.16,12.29,6.19
2025-10-28,4.56,12.79,8.91
2025-10-29,4.29,12.75,9.11
2025-10-30,4.09,12.25,8.08
2025-10-31,4.35,11.85,7.0
2025-11-03,2.06,13.09,8.85
2025-11-04,2.06,11.09,6.3
2025-11-05,2.06,10.3,5.95
2025-11-10,2.1,10.89,5.95
2025-11-11,2.36,11.79,5.89
2025-11-12,2.5,13.28,6.3
2025-11-13,2.26,11.11,7.2
2025-11-14,2.37,11.99,5.85
2025-11-15,2.49,12.91,6.17
2025-11-17,2.79,9.59,5.56
2025-11-18,2.08,10.59,6.59
2025-11-19,2.01,11.79,8.65
2025-11-22,2.19,10.0,5.28
2025-11-24,5.19,11.59,6.89
2025-11-25,4.85,11.89,6.3
2025-11-26,5.69,11.29,7.59
2025-11-27,3.61,11.7,7.1
2025-11-28,4.0,12.5,9.29
2025-11-29,5.87,12.69,8.69
2025-12-01,4.27,13.69,9.59
2025-12-02,4.19,14.09,10.51
2025-12-03,6.09,12.0,9.39
2025-12-04,7.31,13.79,9.19
2025-12-05,4.45,12.19,8.29
2025-12-06,6.3,13.25,9.5
2025-12-08,7.91,13.11,9.79
2025-12-09,4.89,14.09,11.97
2025-12-10,5.09,15.15,10.89
2025-12-11,5.36,15.11,10.49
2025-12-13,4.99,15.59,11.06
2025-12-15,6.07,18.09,11.71
2025-12-16,8.69,22.89,17.29
2025-12-17,6.46,18.29,13.25
2025-12-18,6.21,20.15,11.61
2025-12-20,4.09,18.69,13.85
2025-12-22,2.09,19.59,15.69
2025-12-23,2.09,17.89,10.85
2025-12-24,2.89,18.89,13.89
2025-12-26,3.19,20.26,14.65
2025-12-27,3.09,17.11,11.27
2025-12-29,2.19,16.17,12.86
2025-12-30,2.89,18.69,14.19
2025-12-31,4.86,17.49,14.15
