Price Date,Min Price,Max Price,Modal Price
2025-01-23,44.25,46.5,45.25
2025-01-24,43.0,45.5,44.25
2025-01-25,43.5,45.5,44.5
2025-01-26,43.5,45.5,44.5
2025-01-27,44.0,46.0,45.0
2025-01-28,43.0,45.0,44.0
2025-01-29,43.0,44.0,43.5
2025-01-30,43.0,45.25,44.0
2025-01-31,43.25,45.5,44.25
2025-02-01,44.0,46.0,45.0
2025-02-02,44.0,46.0,45.0
2025-02-03,44.0,46.0,45.0
2025-02-04,44.0,46.0,45.0
2025-02-05,44.0,46.25,45.0
2025-02-06,44.5,46.25,45.5
2025-02-07,44.0,46.0,45.0
2025-02-08,43.5,45.5,44.5
2025-02-09,44.0,46.0,45.0
2025-02-10,44.0,46.0,45.0
2025-02-11,44.0,46.5,45.0
2025-02-12,43.5,45.5,44.5
2025-02-13,43.5,46.0,44.75
2025-02-14,44.0,46.0,45.0
2025-02-17,44.0,46.0,45.0
2025-02-18,44.0,46.0,45.0
2025-02-19,44.0,46.0,45.0
2025-02-20,43.5,46.0,44.5
2025-02-21,44.0,46.5,45.0
2025-02-22,44.0,46.0,45.0
2025-02-23,44.0,46.0,45.0
2025-02-24,44.0,46.0,45.0
2025-02-26,43.5,45.5,44.5
2025-02-27,44.5,46.5,45.5
2025-02-28,44.0,46.0,45.0
2025-03-01,44.5,46.5,45.5
2025-03-02,45.0,47.0,46.0
2025-03-04,44.5,47.0,45.5
2025-03-05,45.0,47.0,46.0
2025-03-06,44.0,46.0,45.0
2025-03-07,44.25,46.5,45.25
2025-03-08,44.0,45.75,44.75
2025-03-09,44.0,46.0,45.0
2025-03-10,44.0,46.0,45.0
2025-03-11,44.0,46.0,45.0
2025-03-12,44.0,46.0,45.0
2025-03-13,44.0,46.0,45.0
2025-03-14,44.0,46.0,45.0
2025-03-15,44.0,46.0,45.0
2025-03-16,44.0,46.0,45.0
2025-03-17,44.0,46.5,45.25
2025-03-18,44.0,46.5,45.0
2025-03-19,44.0,46.0,45.0
2025-03-20,44.25,46.5,45.25
2025-03-21,44.0,46.5,45.0
2025-03-22,46.0,48.0,47.0
2025-03-23,46.0,48.0,47.0
