Price Date,Min Price,Max Price,Modal Price
2025-01-01,10.58,18.32,15.5
2025-01-02,9.92,16.0,13.2
2025-01-03,9.06,15.86,13.12
2025-01-04,9.0,14.5,12.0
2025-01-05,9.0,14.0,12.15
2025-01-06,9.04,15.24,12.26
2025-01-07,9.32,14.36,11.66
2025-01-08,8.85,13.3,11.4
2025-01-09,9.32,13.28,11.25
2025-01-10,9.07,13.32,11.0
2025-01-11,11.0,22.0,17.0
2025-01-14,8.0,14.0,11.0
2025-01-15,9.0,14.33,11.67
2025-01-16,9.5,15.5,12.65
2025-01-17,12.82,19.0,15.88
2025-01-18,11.85,16.75,14.25
2025-01-19,11.0,15.33,13.53
2025-01-20,10.0,14.82,12.5
2025-01-21,10.5,15.75,13.5
2025-01-22,11.19,16.44,13.91
2025-01-23,12.08,16.9,14.84
2025-01-24,11.09,15.92,13.75
2025-01-25,11.36,16.45,14.0
2025-01-26,11.46,16.05,13.88
2025-01-27,12.96,18.5,15.86
2025-01-28,13.28,19.26,16.27
2025-01-29,14.11,19.38,16.82
2025-01-30,13.75,18.71,16.34
2025-01-31,13.36,19.0,16.39
2025-02-01,12.84,18.45,15.71
2025-02-02,14.14,19.81,17.24
2025-02-03,13.17,19.0,16.24
2025-02-04,13.29,18.87,16.27
2025-02-05,13.39,19.14,16.43
2025-02-06,14.25,19.51,17.1
2025-02-07,14.53,20.39,17.46
2025-02-08,13.84,18.91,16.56
2025-02-09,14.0,19.0,16.61
2025-02-10,13.59,18.61,16.25
2025-02-11,13.1,18.13,15.71
2025-02-12,11.29,15.79,13.71
2025-02-13,10.25,14.05,12.25
2025-02-14,10.16,14.58,12.46
2025-02-15,10.04,14.57,12.57
2025-02-16,11.71,16.16,14.24
2025-02-17,11.62,16.42,14.12
2025-02-18,11.27,15.7,13.68
2025-02-19,10.26,14.7,12.72
2025-02-20,9.42,13.13,11.35
2025-02-21,9.08,12.07,10.87
2025-02-22,9.28,12.76,11.52
2025-02-23,9.48,12.9,11.1
2025-02-24,9.66,12.96,11.06
2025-02-25,9.4,12.23,10.77
2025-02-26,8.9,11.67,10.37
2025-02-27,8.49,11.4,9.94
2025-02-28,9.16,12.23,10.53
2025-03-01,9.4,12.25,10.83
2025-03-02,9.2,12.44,10.8
2025-03-03,9.23,12.38,10.77
2025-03-04,9.0,12.07,10.43
2025-03-05,9.1,11.78,10.37
2025-03-06,9.1,11.84,10.56
2025-03-07,7.89,10.73,9.46
2025-03-08,8.95,11.55,10.35
2025-03-09,8.68,11.27,10.18
2025-03-10,8.53,11.08,9.98
2025-03-11,8.87,11.98,10.52
2025-03-12,8.65,11.45,10.27
2025-03-13,8.52,10.83,9.85
2025-03-14,8.43,10.87,9.88
2025-03-15,8.68,10.93,9.87
2025-03-16,8.77,11.32,10.05
2025-03-17,8.77,11.33,10.25
2025-03-18,8.65,11.18,10.1
2025-03-19,8.47,10.82,9.8
2025-03-20,8.67,11.05,9.83
2025-03-21,8.19,10.48,9.37
2025-03-22,8.6,11.0,9.9
2025-03-23,8.4,10.72,9.74
2025-03-24,8.03,10.57,9.58
2025-03-25,8.2,10.42,9.45
2025-03-26,8.17,10.7,9.7
2025-03-27,7.93,10.28,9.3
2025-03-28,8.03,10.48,9.48
2025-03-29,8.24,10.44,9.54
2025-03-30,9.6,13.83,11.73
2025-03-31,11.43,16.62,14.33
2025-04-01,10.4,14.38,12.52
2025-04-02,9.28,11.43,10.42
2025-04-03,9.05,11.37,10.23
2025-04-04,8.8,11.33,10.1
2025-04-05,8.96,11.24,10.2
2025-04-06,9.2,11.43,10.29
2025-04-07,8.8,11.63,10.36
2025-04-08,9.26,11.39,10.39
2025-04-09,9.81,12.33,11.3
2025-04-10,10.27,13.06,12.03
2025-04-11,10.26,13.13,11.84
2025-04-12,10.34,13.08,11.88
2025-04-13,9.86,12.34,11.28
2025-04-14,9.89,12.34,11.16
2025-04-15,9.51,11.76,10.6
2025-04-16,9.23,11.21,10.39
2025-04-17,8.9,10.86,10.01
2025-04-18,8.5,10.8,9.69
2025-04-19,8.84,11.14,10.03
2025-04-20,9.8,11.63,10.75
2025-04-21,9.11,11.51,10.33
2025-04-22,9.07,11.36,10.19
2025-04-23,8.79,11.03,10.03
2025-04-24,8.53,10.73,9.77
2025-04-25,8.41,10.46,9.5
2025-04-26,8.39,10.34,9.43
2025-04-27,8.3,10.23,9.33
2025-04-28,8.6,10.57,9.69
2025-04-29,8.47,10.66,9.67
