Price Date,Min Price,Max Price,Modal Price
2025-02-27,4.0,8.0,6.0
2025-03-04,7.0,9.0,8.0
2025-03-07,4.0,8.0,6.0
2025-03-13,8.0,9.2,8.4
2025-03-14,8.0,8.8,8.4
2025-03-15,7.6,8.4,8.0
2025-03-16,8.0,8.8,8.4
2025-03-18,8.4,9.2,8.8
2025-03-19,8.0,8.8,8.4
2025-03-20,8.4,9.6,8.8
2025-03-21,8.0,8.8,8.4
2025-03-23,8.8,9.6,9.2
2025-03-24,8.0,8.8,8.4
2025-03-25,8.0,8.8,8.4
2025-03-26,7.75,9.15,8.5
2025-03-27,7.95,9.35,8.7
2025-03-28,7.85,9.35,8.7
2025-03-29,7.93,9.27,8.67
2025-04-04,7.2,9.3,8.4
2025-04-05,6.0,9.0,8.0
2025-04-07,6.0,9.0,8.0
2025-04-16,6.0,9.0,8.0
2025-04-17,7.0,8.9,8.2
2025-04-18,7.2,9.3,8.4
2025-04-19,7.0,9.3,8.4
2025-04-21,6.0,9.0,8.0
2025-04-22,6.0,9.0,8.0
2025-04-23,6.0,9.0,8.0
2025-04-24,6.0,9.0,8.0
2025-04-25,6.0,8.0,7.0
2025-04-26,6.0,8.0,7.0
2025-04-27,7.0,8.7,7.85
2025-04-28,7.0,9.0,8.2
2025-04-29,6.0,9.0,8.0
2025-04-30,7.0,8.7,7.85
2025-05-01,7.33,8.73,8.17
2025-05-02,7.5,8.72,8.2
2025-05-03,7.5,8.68,8.18
2025-05-04,7.5,8.72,8.22
2025-05-05,7.4,8.7,8.14
2025-05-06,7.6,8.72,8.2
2025-05-07,7.5,8.88,8.18
2025-05-08,7.0,8.57,7.77
2025-05-09,7.14,8.72,7.94
2025-05-10,6.87,8.7,7.87
2025-05-11,6.38,8.3,7.35
2025-05-12,6.5,8.38,7.45
2025-05-13,6.65,8.48,7.65
2025-05-14,6.7,8.62,7.75
2025-05-15,6.15,7.7,7.05
2025-05-16,6.12,7.72,7.02
2025-05-17,6.9,8.44,7.76
2025-05-18,7.25,8.55,7.95
2025-05-19,6.0,8.0,7.0
2025-05-20,6.0,9.0,8.0
2025-05-21,7.15,8.15,7.9
2025-05-22,6.87,8.47,7.8
2025-05-23,6.0,8.0,7.4
2025-05-24,6.0,8.0,7.4
2025-05-25,7.0,9.0,8.4
2025-05-26,6.0,8.0,7.4
2025-05-27,7.0,8.8,8.1
2025-05-28,7.0,8.53,7.93
2025-05-29,7.3,9.1,8.33
2025-05-30,6.97,9.1,8.17
2025-05-31,7.1,9.05,8.3
2025-06-01,6.4,8.8,8.0
2025-11-01,1.0,2.3,1.6
2025-11-03,1.0,2.2,1.6
2025-11-04,1.1,2.4,1.4
2025-11-05,1.0,2.0,1.4
2025-11-06,1.0,2.0,1.5
